"Country Name","Country Code","Year","average_value_Adjusted net savings, excluding particulate emission damage (% of GNI)","average_value_Adjusted net savings, excluding particulate emission damage (current US$)","average_value_Adjusted savings: carbon dioxide damage (% of GNI)","average_value_Adjusted savings: carbon dioxide damage (current US$)","average_value_Adjusted savings: consumption of fixed capital (% of GNI)","average_value_Adjusted savings: consumption of fixed capital (current US$)","average_value_Adjusted savings: education expenditure (% of GNI)","average_value_Adjusted savings: education expenditure (current US$)","average_value_Adjusted savings: energy depletion (% of GNI)","average_value_Adjusted savings: energy depletion (current US$)","average_value_Adjusted savings: gross savings (% of GNI)","average_value_Adjusted savings: mineral depletion (% of GNI)","average_value_Adjusted savings: mineral depletion (current US$)","average_value_Adjusted savings: net forest depletion (% of GNI)","average_value_Adjusted savings: net forest depletion (current US$)","average_value_Adjusted savings: net national savings (% of GNI)","average_value_Adjusted savings: net national savings (current US$)","average_value_Agricultural methane emissions (% of total)","average_value_Agricultural nitrous oxide emissions (% of total)","average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Aquaculture production (metric tons)","average_value_Bird species, threatened","average_value_Capture fisheries production (metric tons)","average_value_Coal rents (% of GDP)","average_value_Energy related methane emissions (% of total)","average_value_Fish species, threatened","average_value_Forest rents (% of GDP)","average_value_Mammal species, threatened","average_value_Marine protected areas (% of territorial waters)","average_value_Methane emissions (% change from 1990)","average_value_Methane emissions (kt of CO2 equivalent)","average_value_Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Mineral rents (% of GDP)","average_value_Natural gas rents (% of GDP)","average_value_Nitrous oxide emissions (% change from 1990)","average_value_Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Nitrous oxide emissions in energy sector (% of total)","average_value_Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","average_value_Oil rents (% of GDP)","average_value_People practicing open defecation (% of population)","average_value_People using at least basic drinking water services (% of population)","average_value_People using at least basic sanitation services (% of population)","average_value_Plant species (higher), threatened","average_value_Population living in areas where elevation is below 5 meters (% of total population)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_Terrestrial and marine protected areas (% of total territorial area)","average_value_Terrestrial protected areas (% of total land area)","average_value_Total fisheries production (metric tons)","average_value_Total natural resources rents (% of GDP)","average_value_Urban population living in areas where elevation is below 5 meters (% of total population)"
"Dominican Republic","DOM","1970","","","0.557015171680358","8222658.52136062","4.34496089932211","64140317.1407538","2.5","36905002.5","","","10.70810821","0.0383439725656392","566033.761357938","0","0","6.36314731039824","93932786.9592462","68.0436018887251","77.9089494668835","855.320597","0","","5200","","14.8491928946047","","0.0616367156294048","","","","3786.76","562.303296855734","0.666930707104093","","","1097.8464","8.30154854522454","91.138251848","","","","","","","","","","5200","0.728567422733497",""
"Algeria","DZA","2012","24.9395429203356","51163222905.6392","1.96785899948013","4037043058.84349","5.75663858951299","11809686500","4.4671956","9164407101.444","19.7665072556963","40550791969.9883","48.08394197","0.0145557941431273","29861066.1266842","0.106062193745192","217585529.846325","42.3273315634003","86834097429","","","5200","2644.001953125","","105621","0","","","0.132534587467911","","","50.2412119110572","48690","30020","0.142973435151667","3.59513144872142","49.9473400536068","10030","","3230","26.1694891376893","1.977114639","92.74518845","87.0935433","","","","","","108265","30.0401286090303",""
"Estonia","EST","1968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fragile and conflict affected situations","FCS","1986","19.4121239273143","","1.22451034699196","","9.19993757071054","","3.47080874094436","","2.74054506208463","","29.7053056446636","0.133447674183872","","0.465549804322677","","20.5053680739531","","52.8544879320886","62.9665388397004","166374.435799477","22241","","2032424.31762695","0.0296557111244334","23.2168015466748","","1.70797954317556","","","","470038.09163","109127.810927515","0.369675887618674","0.114791288416921","","264226.74465724","2.16680325413044","5725.273701516","6.34864081937092","","","","","","","","","2054665.31787109","8.57074324970651",""
"Fiji","FJI","2008","4.93524514726282","169579612.593765","0.697559748311924","23968801.6197833","7.9239798496349","272275316.221557","5.09571428571434","175093481.412816","0","0","8.641408965","0.180338506377471","6196598.77771036","0","0","0.717429116237879","24651531.578443","78.5714285714286","91.8918918918919","340","888","","46595","0","8.33333333333333","","0.621167063956266","","","11.3129544821245","840","70","0.259287172938468","0","9.49360443752296","370","2.7027027027027","10","0","0.380281611","94.28880786","86.82206422","","","","","","47483","0.880454236894735",""
"United Kingdom","GBR","1998","7.55891173050892","125269308762.686","0.549566321320177","9107632903.4465","12.8493395219587","212944394293.709","3.98810496549976","66092470730.2483","0.139212715337148","2307088803.65335","17.10896547","0.0000027736932117","45966.753381179","0","0","4.2595885753597","70591605706.291","23.5720993767609","52.3939187656002","23090","137421","","923267","0.0025244309718071","19.4228634850166","","0.005861230184637","","","-18.966858446245","117130","22750","0.0000062752342591","0.0386725951085093","-8.45711351357258","44070","11.1640571817563","4920","0.112688563517517","","","","","","","","","1060688","0.15975309501673",""
"Ghana","GHA","2003","13.0735863371745","976261462.668869","2.14464872971491","160150233.591903","11.4975123703989","858569175.610378","6.3833333333335","476671219.050512","0.363480846808372","27142693.2140451","21.62437029","0.928475333396878","69333284.9653174","0","0","10.1268579137612","756216455.389622","40.359168241966","83.920704845815","3810","938","","393547","0","39.6975425330813","","13.8961700458865","","","15.3365670963769","10580","4200","1.21634094076386","0.0006937689995647","-20.1346604927018","4540","12.7753303964758","580","0.427881759192981","21.10403317","66.89205837","9.023517922","","","","","","394485","15.5410865148429",""
"Gibraltar","GIB","1996","","","","4495323.65183599","","","","","","0","","","0","","","","","","","","","","1","","","","","","","12.9163433246859","","","","","59.0280614123775","","","","","","","","","","","","","1","",""
"Gambia, The","GMB","2003","-7.7143038463275","-35819135.4931699","1.35909867609406","6310581.04494764","16.2578277962472","75488514.3570842","1.60875","7469764.65699751","0","0","10.3","0","0","1.97865544476592","9187313.44813558","-5.98529972546752","-27791005.6570842","56.5217391304348","90.9090909090909","300","5","","37366","0","18.4782608695652","","6.12286065707953","","","7.34256627631762","920","170","0","0","-11.8537795459864","330","9.09090909090909","30","0","4.559361253","74.96069707","47.53368116","","","","","","37371","6.12286065707953",""
"Gambia, The","GMB","1995","-3.5805232690285","-27592696.3543734","0.429269447145753","3308092.31481865","13.8379687006915","106639962.885398","1.6","12330129.104","0","0","9.64","0","0","0.554873839466209","4276041.29815658","-4.19637998241654","-32338691.8453982","15.5223880597015","93.5483870967742","290","0","","23699","0","3.58208955223881","","3.0369799070949","","","7.31277733826885","3350","120","0","0","-0.507371869880646","310","6.45161290322581","20","0","","","","","","","","","23699","3.0369799070949",""
"Equatorial Guinea","GNQ","1986","","","1.10428181794211","782111.004156483","11.170813081333","7911762.82569534","1.5","1062379.62735","0","0","","0","0","0","0","","","7.66763163426531","41.7295204709558","6.79005648","","","4400","0","61.4643593383622","","19.5158531299597","","","","102.99","63.3021436825792","0","0","","16.27159","45.6498005296348","7.427948378","0","","","","","","","","","4400","19.5158531299597",""
"Guyana","GUY","1961","","","","","","","","","","","","","","","","","","","","","","","7400","","","","","","","","","","","","","","","","","","","","","","","","","7400","",""
"Haiti","HTI","2001","6.09908454587768","388225659.975984","0.478349256252411","30448414.7269497","1.39186935552817","88596804.1737502","1.461652","93038686.066215","0","0","6.852978334","0","0","0.345327176115213","21981146.4895309","5.4611089782453","347616535.12625","70.9443099273608","89.6551724137931","1300","12","","7810","0","4.60048426150121","","0.381310972801616","","","27.6695316208103","4130","190","0","0","53.6619253074165","1450","7.58620689655172","110","0","35.66332697","57.06076425","17.83749693","","","","","","7822","0.381310972801616",""
"Haiti","HTI","2010","18.6497433617918","2179010990.91211","0.519704870671756","60721619.7700807","4.47370764576884","522701998.689661","1.461652","170777458.493812","0","0","22.79974862","0","0","0.618244742023537","72234886.121965","18.3260409744871","2141190038.31034","","","1330","360","","13710","0","","","0.677029404493689","","","35.9599611825418","4420","210","0","0","61.0416233905543","1540","","150","0","25.93072444","62.20079017","27.15643914","","1.867985623","1.049246083","","","14070","0.677029404493689","0.81873954"
"IBRD only","IBD","1977","","","1.36842334603993","","9.14494864046563","","2.84589335693773","","2.92251202107278","","","0.253565866242386","","0.269896817919099","","","","55.9246464194955","64.5397972396403","730850.543486628","3766762","","21167070","0.791336923083237","29.8812246962626","","1.25623044142767","","","","3390626.487586","1013160.71936657","0.624878367321182","0.053767549019385","","1132402.91222629","6.47597533458707","73334.1332839201","6.4298603018416","","","","","","","","","24933832","9.15607358269308",""
"IDA only","IDX","2012","13.2713495000322","","1.05572824488337","","8.58176798530813","","3.15830945517485","","1.34394812488275","","24.1222700435762","1.19297617189018","","1.83480947175441","","15.5405020582681","","","","331270","3106998.6482749","","8835391.57421875","0.0685889875690723","","","4.33549198025485","","","33.8134197541353","886770","214220","1.86111925116922","0.537574903979315","28.8709445625608","395300","","47670","2.06451649153974","22.139651387825","62.5885085808989","32.9333616896693","","","","","","11942390.240448","8.86729161451219",""
"IDA only","IDX","2013","13.9876172730032","","1.0569979961471","","8.59830662452248","","3.08340368205884","","1.2067602653595","","24.5272542841288","1.02408877965783","","1.73688702749756","","15.9289476596063","","","","337850","3326429.17990112","","8965129.28125","0.0469155506632891","","","4.00538108170038","","","","911820","227140","1.56252425215568","0.482688144004439","","405570","","51010","1.96815073213614","21.2154132395242","63.3569054017207","33.6267435200887","","","","","","12291558.4610748","8.06565976065993",""
"IDA only","IDX","1998","8.44743097680923","","1.29184818321484","","7.69853094134865","","2.33757213981695","","1.2364230069881","","18.7380742268481","0.102906870456746","","2.29850638784746","","11.0395432854994","","68.1123378371957","84.3689160204587","255680","748299","","5022644.40002441","0.002558734926269","19.9173147898814","","5.66590151562204","","","-1.90098991746284","631310","125740","0.211363940924472","0.0712282893629462","-7.48723255253365","303050","11.6845405048672","35410","1.62997075175503","","","","","","","","","5770943.40002441","7.58102323259075",""
"Isle of Man","IMN","2017","","","","","","","","","","","","0","0","","","","","","","","","","6759","","","","0","","","","","","0","","","","","","","","99.075","","","","","4.22910719476977","3.72176999077853","6759","0",""
"Isle of Man","IMN","1975","","","","","","","","","","","","","0","","","","","","","0","","","14505","","","","","","","","","0","","","","","","0","","","","","","","","","","14505","",""
"India","IND","2005","21.9245866587745","178466135402.424","3.48961199461722","28405441636.1842","10.6088452088452","86356000000","3.13","25478200000","1.14848247589609","9348647353.79421","34.7","0.423136461886474","3444330799.75589","0.179071843715187","1457644807.84162","24.0348894348894","195644000000","75.6611882877517","87.8522693562741","177690","2973126","","3725362","1.09493699716529","14.7385026479726","","0.208712506499866","","","13.8157382461495","621230","91560","0.83998267983767","0.130296170844466","23.5786668421399","202260","6.41748244833383","12980","1.27830203489259","58.84314476","83.13360985","28.4835452","","","","","","6698488","3.55223038923989",""
"Iran, Islamic Rep.","IRN","1968","","","","","","","","","","","","","","","","","","","","","0","","24019","","","","","","","","","","","","","","","","","","","","","","","","","24019","",""
"Iraq","IRQ","1992","","","","792034492.665804","","","4.6","","","95536034.3833151","","","0","","0","","","36.353591160221","78.125","2750","4750","","18073","","9.50276243093923","","","","","-43.4273977079103","9050","860","","","-19.378593831678","3520","15.9090909090909","560","","","","","","","","","","22823","",""
"Israel","ISR","2013","14.6272050531603","41942632857.634","0.744189192913006","2133917859.32647","13.3475976365753","38273435367.0216","5.44811333222985","15622138093.3692","0.144989746998349","415749400.132945","23.46845453","0.0526139843394001","150867443.254169","0","0","10.1208846451812","29021029466.9784","","","920","22251.599609375","","1983","0","","","0.0001604172406616","","","","10230","2370","0.0948577603030297","0.230268388845553","","2160","","180","0.0045615341489402","0","100.0000008","99.98356473","","","","","","24234.599609375","0.329848100538184",""
"Jamaica","JAM","2003","12.5740830664163","1115319462.81972","2.52392393183893","223871710.484789","8.11920283600363","720172190.508425","4.27","378748420.9453","0","0","19.12869277","0.181482939608422","16097512.1323655","0","0","11.0094899378636","976540264.491575","60.6837606837607","76.7857142857143","430","2969","","12482","0","5.12820512820513","","0.102790107944392","","","5.73573549279596","1170","60","0.966323422419722","0","32.8363518758085","560","8.92857142857143","50","0","0.850312435","93.59264938","83.03157627","","","","","","15451","1.06911353036411",""
"Cambodia","KHM","1997","0.718954046585611","24471243.0234464","0.749227541526067","25501670.5665909","6.31151384955918","214826788.988688","1.00740740740739","34289411.9691846","0","0","8.639556351","0","0","1.8652989322643","63489709.390459","2.32607311296859","79173211.0113117","88.8294314381271","88.3008356545961","3170","11800","","119800","0","9.89966555183947","","7.12815374914454","","","1.67706424446106","14950","1480","0","0","-11.5799209082791","3590","7.79944289693593","280","0","","","","","","","","","131600","7.12815374914454",""
"Kiribati","KIR","2013","17.7993821092405","54197726.6109564","0.544803629558918","1658884.44836307","4.7322009519852","14409181.8406805","6.1","18574022.98","0","0","16.97638669","0","0","0","0","12.2441857387994","37282588.0793195","","","0","2261","","81531","0","","","0.0552138962928736","","","","20","0","0","0","","0","","0","0","35.33868572","72.11599867","42.38021216","","","","","","83792","0.0552138962928736",""
"Kuwait","KWT","1987","34.1695335039468","9549974138.4807","1.14377913197221","319672527.259022","5.36802809257621","1500299366.18302","3.8999519","1089989706.23982","5.06421332126178","1415386787.30318","41.84626696","0","0","0.0006648157434137","185808.013905776","36.4782388729242","10195229554.817","1.19418355322054","4.22546684474934","43.15251677","5","","7699","0","90.8636887150835","","0.0009965487935227","","","","6571.63","5971.22542670704","0","0.213915569708302","","1021.2485","9.43533152215156","96.35818164","39.7018337347238","","","","","","","","","7704","39.9167458532256",""
"Liberia","LBR","1967","","","","","","","","","","","","","","","","","","","","","","","6000","","","","","","","","","","","","","","","","","","","","","","","","","6000","",""
"Libya","LBY","1979","","","","150412037.178243","","","2.1374382","","","12896096464.0127","","","0","","4210592.61231804","","","5.83728358720542","67.0808872041923","688.49374174","0","","4500","","91.5897147937634","","","","","","18479.3","16925.1381658839","","","","1026.3635","14.6008992252745","149.85830032","","","","","","","","","","4500","",""
"Lower middle income","LMC","1974","","","0.760014402759474","","7.40949020041812","","2.62540751003936","","4.28153293611845","","","0.564936700843603","","0.335262056811673","","","","66.0005510014802","67.0815823076893","282708.402564146","637354","","8923322","0.178396005930375","21.0243448095717","","1.06945703737061","","","","1319474.75573","277410.922319929","1.20287850812034","0.0196648716851796","","421439.6751517","6.54536877994362","27584.7809236752","12.9273513372823","","","","","","","","","9560676","15.3977477603888",""
"Lower middle income","LMC","1980","5.31996165903009","","0.86135149746904","","9.46920310295352","","3.33646314997296","","7.04163000794427","","19.9611412186177","0.276812190226063","","0.328645910967724","","10.4919381156642","","62.4509182383346","64.2041787206261","356744.219755995","1159570","","9385413.09375","0.282289174711511","18.2040080202214","","1.20138019560373","","","","1493088.19111","271801.894058643","0.599259128022492","0.215252179100546","","555640.1886368","5.73681332805018","31876.0403977191","11.693712933136","","","","","","","","","10544983.09375","13.9918936105743",""
"Morocco","MAR","2004","25.2649174875073","14920007438.6016","1.61618381376522","954425223.650466","11.3838795481411","6722664644.45784","5.3","3129875229.701","0.0040615334256914","2398508.08748566","33.0749912","0.105948811998031","62567275.9035632","0","0","21.6911116466962","12809523216.5422","49.3385214007782","84.2105263157895","6560","1718","","931280.6875","0.001118938350425","26.6147859922179","","0.157033141729216","","","12.3872631020901","12850","3420","0.403156828887299","0.0019769779555763","7.5208292544976","7790","5.26315789473684","410","0.0040218146222584","19.20475064","67.86815937","72.1705624","","","","","","932998.6875","0.567307701544775",""
"Maldives","MDV","2005","","","1.23305065126268","13963835.4670642","10.382277049535","117575387.795078","4.32","48922377.3216","0","0","","0","0","0.0045814849823779","51883.5965280401","","","0","0","0","","","186274","0","0","","0.0048153164588957","","","67.5308378814265","70","0","0","0","208.229690535111","10","100","10","0","8.727499487","95.65871574","81.68922904","","","","","","186274","0.0048153164588957",""
"Mexico","MEX","1985","12.2702702992427","22850065459.3587","1.43988137720129","2681390297.06555","12.6399465873959","23538487733.4463","2.6","4841798000","4.10235190728863","7639522792.31011","28.01281923","0.16040512870017","298711242.819317","0","0","15.3729087124328","28627891791.5537","52.3121647083495","76.7801564846282","30116.47892","11230","","1245082.25","0.0430756416202912","32.6785145220366","","0.0819903650132349","","","","98561.8","32208.5321261807","0.327940264347317","0.183886204842161","","39224.3","4.14163297241761","1624.526542","8.43530631441916","","","","","","","","","1256312.25","9.07219879024217",""
"Mexico","MEX","1967","","","","","","","","","","","","","","","","","","","","","150","","356550","","","","","","","","","","","","","","","","","","","","","","","","","356700","",""
"Mali","MLI","2005","7.5348117743353","455160509.600452","0.352605435175914","21300076.8126974","7.00402204508188","423096732.708164","3.52","212635038.7744","0","0","13.51493122","0","0","2.13677659052664","129077719.653086","6.50419380003786","392903267.291836","88.8020833333333","96.3041182682154","9120","1008","","100000","0","9.24479166666667","","2.76860845817804","","","44.9847286919433","15360","1420","0","0","34.6950937966433","9470","2.7455121436114","260","0","16.68550443","57.72131008","22.18828766","","","","","","101008","2.76860845817804",""
"Malta","MLT","2007","","","0.929737594602722","70019400.9065582","14.2480823734847","1073036303.63036","6.18","465421534.113","0","0","15.04844394","0","0","","","0.75638022257665","56963696.369637","29.6296296296296","50","30","2716","","1235","0","0","","0","","","35.6586315381973","270","0","0","0","0.097972184237749","60","16.6666666666667","10","0","0","99.99999719","99.96480082","","","","","","3951","0",""
"Myanmar","MMR","1974","","","","17030440.5862543","","","1.6446102","","","66092616.9820065","","","4246788.30313912","","0","","","73.403990349245","26.4465897088538","5712.9373","1330","","432510","","4.56366743530514","","","","","","56291","2568.93403600762","","","","21601.792","1.46447220391716","316.352239388","","","","","","","","","","433840","",""
"Middle East & North Africa (excluding high income)","MNA","1978","5.09979316831757","","1.08274622962989","","11.0559771383265","","5.73047106865024","","14.0120727239825","","25.6706208287261","0.017153556252313","","0.133349080867527","","14.6146436903996","","23.1911125096573","69.2380866995876","27589.53529047","23489","","640513.89453125","0.0162165505416208","66.5247247536488","","0.173186143895015","","","","177373.507","117997.237317644","0.120801217421278","0.170082936388229","","39847.33924","6.75068200009858","2689.9671575929","24.9534974456172","","","","","","","","","664002.89453125","25.4337842938633",""
"Mozambique","MOZ","2003","","","0.655750186178461","40249193.7378978","13.0809670763424","802894744.419459","3.43799999999996","211020493.760458","0.0006605201407196","40541.968072533","","0.0009746636950824","59823.7388559297","0","0","","","68.1528662420382","90.7867494824016","8770","5639","","93034","0.006999801586307","12.8184713375796","","10.0866712733847","","","0.32080932214178","12560","1610","0.0017638143888082","0.0014485609963722","-18.1148081762291","9660","7.14285714285714","690","0","53.92581638","25.82298156","12.68747825","","","","","","98673","10.0968834503562",""
"Mauritania","MRT","2000","","","1.21487153079563","21786315.7264603","8.50457714993404","152512753.992317","2.98188240000004","53474157.3728628","0","0","","0","0","0.742948287478159","13323306.6617602","","","96.2616822429907","97.0037453183521","2590","","","114456","0","3.17757009345794","","1.24346102530131","","","33.6498107626786","5350","170","0","0","33.2742773965481","2670","1.12359550561798","30","0","55.13477554","40.99552767","17.44030145","","19.111418013","13.59204759","","","114456","1.24346102530131","5.519370423"
"Malawi","MWI","1971","","","0.395338968257042","1427173.67540792","4.45008528280652","16064807.8709316","3.3","11913000","","","","0","0","0.697651598361726","2518522.27008583","","","52.1543760605503","83.276486314882","1215.69538","0","","60000","","29.8407486478836","","4.84114888833716","","","","2325.73","694.015243528423","0","","","1459.8303","5.01668536651144","73.235093036","","","","","","","","","","60000","4.84114888833716",""
"Namibia","NAM","1977","","","","","","","8.8925038","","","","","","24081476.8878583","","0","","","96.1420387432913","95.8281354380716","2200.3115427","","","8750","","1.38179666788496","","","","","","3469.22","47.9375663615985","","","","2296.1018","0.288564629974159","6.625737663","","","","","","","","","","8750","",""
"New Caledonia","NCL","2009","","","","81473344.229408","","","0.53888079544","","","0","","","0","","0","","","","","","1923","","3862","","","","","","","3.11987353476302","","","","","-4.65846069804173","","","","","0","96.738444","100","","","","","","5785","",""
