"Country Name","Country Code","Year","average_value_Contributing family workers, female (% of female employment) (modeled ILO estimate)","average_value_Contributing family workers, male (% of male employment) (modeled ILO estimate)","average_value_Contributing family workers, total (% of total employment) (modeled ILO estimate)","average_value_Employment in industry (% of total employment) (modeled ILO estimate)","average_value_Employment in industry, female (% of female employment) (modeled ILO estimate)","average_value_Employment in industry, male (% of male employment) (modeled ILO estimate)","average_value_Employment in services (% of total employment) (modeled ILO estimate)","average_value_Employment in services, female (% of female employment) (modeled ILO estimate)","average_value_Employment in services, male (% of male employment) (modeled ILO estimate)","average_value_Employment to population ratio, 15+, female (%) (national estimate)","average_value_Employment to population ratio, 15+, male (%) (national estimate)","average_value_Employment to population ratio, 15+, total (%) (national estimate)","average_value_GDP per person employed (constant 2017 PPP $)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, female (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (national estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (national estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (national estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15+) (national estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Labor force, female (% of total labor force)","average_value_Labor force, total","average_value_Ratio of female to male labor force participation rate (%) (modeled ILO estimate)","average_value_Ratio of female to male labor force participation rate (%) (national estimate)","average_value_Share of youth not in education, employment or training, female (% of female youth population)","average_value_Share of youth not in education, employment or training, male (% of male youth population)","average_value_Share of youth not in education, employment or training, total (% of youth population)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, female (% of female labor force) (national estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (national estimate)","average_value_Unemployment, total (% of total labor force) (modeled ILO estimate)","average_value_Unemployment, total (% of total labor force) (national estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","average_value_Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","average_value_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","average_value_Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","average_value_Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
"Algeria","DZA","2012","2.52999997138977","2.02999997138977","2.11999988555908","30.8099994659424","23.8700008392334","32.2900009155273","58.4900016784668","72.9599990844727","55.4099998474121","","","","40902.399728042","10.33","","44.04","","27.45","","16.15","15.8","17.48","68.88","67.8","73.75","42.65","42","45.88","18.8328167726379","11532688","23.4465737514518","23.3038348082596","34.7999992370605","10.8000001907349","22.7000007629395","17.01","16.99","9.57","9.56","10.97","10.97","39.08","39.22","24.93","24.92","27.55","27.54","74.0299987792969","66.7600021362305","68.0299987792969"
"Fiji","FJI","2008","24.6100006103516","13.1000003814697","16.8500003814697","18.2099990844727","13.6800003051758","20.3999996185303","55.689998626709","68.4599990844727","49.5099983215332","","","35.8","26221.8507453303","24.68","","49.86","","37.64","","39.81","","41.3","78.9","","80.6","59.67","39.3","61.37","32.819001142438","354505","50.4562737642586","","","","","4.65","","3.55","","3.91","8.94","16.36","","8.89","","11.27","","54.9900016784668","58.9500007629395","57.6599998474121"
"United Kingdom","GBR","1998","0.600000023841858","0.189999997615814","0.379999995231628","26.6700000762939","13.1099996566772","37.9099998474121","71.620002746582","85.9700012207031","59.7200012207031","50.47","65.77","57.93","78154.0218184071","60.18","59.74","68.04","67.79","64.14","63.85","52.71","53.33","66.81","69.83","70.63","82.54","60.94","61.76","74.63","44.9194441688325","28764274","75.4833166260919","75.5061588560102","","","","5.36","5.35","6.89","6.88","6.2","6.2","10.57","10.64","13.91","14","12.35","12.46","92.1699981689453","83.629997253418","87.5"
"Ghana","GHA","2003","24.7700004577637","10.6499996185303","17.4699993133545","14.0699996948242","14.3199996948242","13.8299999237061","30.8400001525879","35.2099990844727","26.75","","","","7346.54818805584","48.2","","48.41","","48.31","","70.9","","72.11","75.14","","75.62","73.02","","73.88","48.4626253468856","8855226","94.3571998935321","","","","","7.54","","7.15","","7.34","","12.89","","12.96","","12.92","","8.97000026702881","18.6800003051758","13.9899997711182"
"Gambia, The","GMB","1995","17.9099998474121","21.8199996948242","20.3299999237061","17.7700004577637","4.71999979019165","25.8099994659424","45.0099983215332","45.189998626709","44.9000015258789","","","","7434.6859568433","36.84","","45.33","","41.07","","46.1","","47.03","70.9","","71.18","58.43","","59.06","39.6607073825278","356978","65.0211565585331","","","","","13.02","","7.24","","9.53","","17.76","","9.83","","13.4","","9.14000034332275","27.4799995422363","20.4899997711182"
"Gambia, The","GMB","2003","16.2600002288818","17.1800003051758","16.8099994659424","17.2199993133545","4.65999984741211","25.6499996185303","48.6500015258789","51.2200012207031","46.9199981689453","","","","8043.4790080247","37.02","","45.42","","41.16","","47.89","","49.02","69.1","","69.81","58.3","","59.23","41.8023877425364","449881","69.3053545586107","","","","","12.93","","7.13","","9.56","","17.6","","9.64","","13.28","","12.210000038147","30.8899993896484","23.3899993896484"
"Haiti","HTI","2001","30.1599998474121","21.4200000762939","25.4699993133545","7.3600001335144","2.67000007629395","11.4099998474121","55.2200012207031","75.6600036621094","37.560001373291","","","","7600.02584159906","30.91","","37.8","","34.33","","57.73","","58.64","69.48","","69.22","63.41","","63.78","47.0618650195622","3285928","83.0886586067933","","","","","10.69","","8.09","","9.31","","25.47","","18.08","","21.43","","14.4300003051758","32.8300018310547","24.2999992370605"
"Haiti","HTI","2010","30","18.1800003051758","23.5300006866455","6.3600001335144","2.23000001907349","9.77999973297119","59.6199989318848","80.7399978637695","42.1500015258789","","","","7706.61248220456","32.25","","39.73","","35.98","","60.52","60.64","61.64","71.36","70.83","71.26","65.78","65.62","66.33","47.4019097677989","4171083","84.8094170403588","85.6134406325004","","","","18.04","","12.9","","15.34","","40.4","","26.78","","32.9","","16.0599994659424","31.8799991607666","24.7199993133545"
"IDA only","IDX","1998","51.9197924570589","21.6450199852882","33.8494225407834","9.2081163622917","7.05471178243499","10.6581968104673","22.4931031641713","20.2097420981764","24.028590459834","","","","4680.14723479171","48.8856859638932","","67.1554320126181","","58.0575665749634","","54.7197508051059","","56.2674930041145","82.7611662652289","","83.9500860482738","68.6074718516124","","70.0306303110415","40.2571931413414","265419369","70.0127995982095","","","","","4.3713838383326","","4.38488109882156","","4.37935473242261","","8.84150392522105","","8.5157101410286","","8.52491703669343","","11.57822350375","23.6918518792694","18.8111970725969"
"IDA only","IDX","2012","40.6345635137958","15.121993467405","25.5817713198317","12.3257546362031","8.49612541976396","14.9830077470212","29.4421983026304","27.6620288910196","30.6787670141224","","","","7160.37577216786","44.6869177376102","","59.5437001708279","","52.1462271477305","","53.7390309342235","","55.3976631640209","78.9969448474655","","80.3376438452523","66.183448749016","","67.7370611181003","41.1915308465792","372961335","71.6600138899902","","","","","5.15742600826923","","4.30203285385622","","4.65409460694799","","11.2069301432855","","8.92879969612306","","9.48132046081139","","15.1614031128167","30.5152920167654","24.2161422054334"
"IDA only","IDX","2013","39.8760932297213","14.3963421522223","24.8596350089546","12.4642442581958","8.54748400055963","15.1926165761766","29.8973282745184","28.2481491602001","31.0448856519758","","","","7437.34805698867","44.5155296773188","","58.9530767015283","","51.7662122735991","","53.6960489036468","","55.3782792847656","78.6331726762125","","79.983974832221","65.9764267458413","","67.5514074760562","41.3020508895346","381635916","71.7867020691954","","","","","5.21122989522771","","4.21720302139763","","4.62813018603414","","11.2743461303842","","8.9715931627616","","9.53170846508244","","15.6176001566575","30.8028944616772","24.5635006701667"
"Isle of Man","IMN","1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","",""
"India","IND","2005","38.5699996948242","13.3199996948242","19.9899997711182","18.7999992370605","13.6499996185303","20.6599998474121","25.2000007629395","15.3000001907349","28.75","31.28","80.85","56.4","8790.23119244484","23.66","23.77","63.15","62.2","44.39","43.76","31.79","32.22","33.46","82.89","82.69","85.37","58.18","57.8","60.42","26.4272952565779","449085795","38.3520328145735","38.9648083202322","54.0699996948242","8.61999988555908","30.4300003051758","5.73","2.92","5.62","2.23","5.65","2.42","18.71","8.22","18.16","7.22","18.3","7.48","10.6899995803833","17.4099998474121","15.6300001144409"
"Iraq","IRQ","1992","9.9399995803833","4.09999990463257","4.67999982833862","18.2999992370605","19.4300003051758","18.1800003051758","50.2799987792969","57.5400009155273","49.4799995422363","","","","16541.2062121441","4.91","","67.47","","36.65","","8.21","","8.68","76.16","","78.03","41.94","","43.26","9.85797249686122","4233335","10.7799369747899","","","","","7.76","","9.01","","8.88","","18.51","","15.74","","15.92","","61.5","66.9400024414063","66.4000015258789"
"Israel","ISR","2013","0.209999993443489","0.109999999403954","0.159999996423721","17.7399997711182","8.36999988555908","25.9400005340576","81.0199966430664","90.9599990844727","72.3199996948242","54.59","65.11","59.73","85029.8032249954","48.24","48.17","51.26","50.99","49.78","49.61","58.13","58.23","67.39","69.6","69.4","76.27","63.73","63.68","71.81","46.7000403218643","3715106","83.5201149425287","83.9048991354467","16.0300006866455","12.789999961853","14.4200000762939","6.24","6.24","6.18","6.18","6.21","6.21","10.69","10.66","10.47","10.43","10.57","10.54","91.9400024414063","85.2399978637695","88.370002746582"
"Jamaica","JAM","2003","2.23000001907349","0.689999997615814","1.33000004291534","17.4500007629395","6.32999992370605","25.3400001525879","62.1599998474121","84.8600006103516","46.0699996948242","","","","24690.5191041348","33.61","33.61","46.97","46.97","40.3","40.21","56.21","53","61.68","74.71","71.38","78.63","65.26","61.87","70.02","43.994441802889","1219820","75.2375853299424","74.2504903334267","","","","16.76","16.34","7.8","8.08","11.74","11.73","28.76","","18.33","","22.67","","67.9300003051758","56.7099990844727","61.3699989318848"
"Cambodia","KHM","1997","60.4500007629395","26.9899997711182","44.0099983215332","6.6100001335144","7.69000005722046","5.48000001907349","16.1000003814697","13.6400003433228","18.6399993896484","","","","2832.82289474393","74.02","","66.2","","70.17","","77.42","","80.82","83.68","","85.76","80.36","","83.15","51.1419064788951","4943312","92.519120458891","","","","","1.42","","0.34","","0.89","","2.05","","0.91","","1.52","","5.44999980926514","14.4300003051758","9.85999965667725"
"Morocco","MAR","2004","56.3800010681152","23.25","32.0400009155273","19.4799995422363","16.7800006866455","20.4500007629395","34.7000007629395","22.7700004577637","39.0099983215332","25.11","69.35","46.94","16697.9489671168","20.44","25.13","56.3","62.28","38.3","43.99","26.54","28.37","28.28","76.27","77.51","79.41","50.72","52.61","53.33","26.8843457517797","10499891","34.7974301822473","36.6017288091859","","","","11.36","11.35","10.64","10.63","10.83","10.83","14.63","14.45","15.99","15.76","15.62","15.39","32","42.3600006103516","39.6100006103516"
"Maldives","MDV","2005","22.6299991607666","11.3400001525879","15.0299997329712","20.2700004577637","28.0699996948242","16.4799995422363","62.5","64.8899993896484","61.3300018310547","","","","35889.3699163917","34.32","","49.93","","42.46","","37.39","","39.01","70.47","","73.31","54.75","","56.9","32.4535728283258","119919","53.0580388817937","","","","","8.05","","5.58","","6.38","","12.52","","12.94","","12.78","","50","71.4000015258789","64.4000015258789"
"Mali","MLI","2005","21.9200000762939","23.4300003051758","22.7900009155273","8.18000030517578","6.80000019073486","9.21000003814697","21.4400005340576","21.75","21.2099990844727","","","","5812.39095620272","51.67","","65.14","","58.49","","60.26","","62.32","80.76","","82.55","70.3","","72.26","43.7506562048319","4771757","74.6161466072313","","","","","11.77","","8.2","","9.76","","15.54","","10.3","","12.59","","8.35999965667725","20.7600002288818","15.460000038147"
"Malta","MLT","2007","0.280000001192093","0.119999997317791","0.170000001788139","26.3199996948242","13.5900001525879","32.3800010681152","71.870002746582","85.8899993896484","65.1800003051758","29.79","63.76","46.63","80324.069123071","50.92","50.46","57.68","57.52","54.39","54.07","31.77","32.34","39.26","67.12","67.67","78.13","49.18","49.85","58.94","32.7769148046362","167380","47.3331346841478","47.7907492241762","11.1800003051758","11.8800001144409","11.539999961853","7.89","7.9","5.78","5.78","6.47","6.47","11.79","11.82","14.93","14.98","13.5","13.54","92.6500015258789","82.25","85.6100006103516"
"Mozambique","MOZ","2003","56.2700004577637","12.4700002670288","36.7000007629395","3.39000010490417","0.370000004768372","7.13000011444092","16.1399993896484","9.82999992370605","23.9400005340576","","","","1655.87162827115","75.14","","61.4","","68.41","","87.68","","88.2","83.3","","82.97","85.65","","85.76","54.8755875025451","9105918","105.258103241297","","","","","2.24","","3.92","","3","","4.51","","9.05","","6.5","","3.09999990463257","15.8500003814697","8.80000019073486"
"Mauritania","MRT","2000","32.689998626709","16.6900005340576","21.3700008392334","18.2099990844727","19.1200008392334","17.8400001525879","40.75","45.6500015258789","38.7200012207031","","","","17007.2351510882","29.89","","55.51","","42.85","","29.76","28.5","30.87","72.12","64.5","73.56","50.46","46","51.88","30.1539935701445","749317","41.2645590682196","44.1860465116279","","","","12.01","","9.1","","9.98","","15.38","","13.63","","14.24","","21.0499992370605","39.6599998474121","34.2099990844727"
"New Caledonia","NCL","2009","0.280000001192093","0.230000004172325","0.25","22.1700000762939","7.98999977111816","33.7000007629395","75.1999969482422","90.6900024414063","62.6199989318848","51.25","64.39","57.94","","45.04","","49.93","","47.54","","61.02","61.26","67.36","71.19","73.21","77.27","66.12","67.34","72.36","46.023171807634","120146","85.7142857142857","83.6770932932659","","","","16.28","16.34","12","12.05","13.97","13.97","40.33","","33.29","","36.55","","86.5800018310547","79.4499969482422","82.6399993896484"
"Nicaragua","NIC","2019","7.90999984741211","7.19000005722046","7.46999979019165","16.2399997711182","12.289999961853","18.7199993133545","53.1599998474121","79.4800033569336","36.6399993896484","","","","12291.6917072044","29.24","","71.4","","50.97","","49.74","","52.86","84.67","","86.94","66.66","","69.53","38.4882225553454","3060596","58.7457186724932","","","","","5.16","","5.12","","5.14","","13.99","","8.38","","9.94","","51.6300010681152","60.8499984741211","57.2999992370605"
"Netherlands","NLD","2003","0.939999997615814","0.189999997615814","0.519999980926514","19.9099998474121","8.25","29.0799999237061","77.0500030517578","89.7399978637695","67.0699996948242","54.33","70.73","62.42","94856.3469860482","72.89","73.08","73.94","74.04","73.42","73.57","55.61","56.47","68.54","72.84","73.24","84.28","64.08","64.75","76.51","44.1001845466334","8481867","76.3454146073586","77.1026761332605","5.42999982833862","4.15999984741211","4.78000020980835","3.8","3.8","3.43","3.43","3.59","3.59","6.5","6.49","6.68","6.68","6.59","6.58","91.4000015258789","86.379997253418","88.5899963378906"
"Panama","PAN","1999","2.08999991416931","2.85999989509583","2.59999990463257","18.1900005340576","10.4499998092651","22.2800006866455","64.370002746582","87.5999984741211","52.0800018310547","35.9","72.66","54.04","35330.3532677811","36.82","36.69","65.04","64.5","51.19","50.67","44.12","43.21","47.64","81.06","79.73","84.89","62.63","61.24","66.38","35.1408709018183","1259522","54.4288181593881","54.1954095070864","","","","5.15","16.93","3.09","8.87","3.81","11.75","10.62","","6.45","","7.92","","76.8899993896484","61.439998626709","66.7900009155273"
"Philippines","PHL","2002","18.4200000762939","10.1800003051758","13.3400001525879","15.6099996566772","11.7799997329712","17.9899997711182","47.3899993896484","63.5900001525879","37.3300018310547","46.19","72.1","59.13","12270.8343962478","34.53","38.25","53.8","58.65","44.33","49.08","47.57","51.7","48.63","76.93","80.81","77.98","62.19","66.23","63.37","38.4140230037872","31395613","61.835434810867","63.9772305407747","","","","3.95","","3.43","","3.63","","11.75","","7.8","","9.31","","47.8699989318848","49.2900009155273","48.7400016784668"
"Poland","POL","2008","5.8899998664856","2.71000003814697","4.11999988555908","31.8899993896484","17.8199996948242","43.0999984741211","54.1399993896484","68.3499984741211","42.8199996948242","42.9","58.64","50.36","52450.4393811905","29.71","29.57","37.45","36.52","33.67","33.07","46.8","46.61","56.88","63.1","62.67","70.89","54.59","54.22","63.85","44.7415161698045","17563323","74.1679873217116","74.3737035264082","10.8199996948242","7.28999996185303","9.03999996185303","7.96","7.95","6.44","6.43","7.12","7.12","19.85","19.86","15.15","15.25","17.17","17.29","79.620002746582","75.0599975585938","77.0800018310547"
"Korea, Dem. People's Rep.","PRK","2011","39.9500007629395","44.0299987792969","42.0800018310547","14.8699998855591","10.25","19.0900001525879","38.4000015258789","38.5800018310547","38.2299995422363","","","","","76.51","","76.32","","76.41","","74.18","","81.75","88.21","","91.37","80.95","","86.56","47.4456512472506","15541985","84.0947738351661","","","","","2.48","","3.27","","2.9","","5.5","","7.12","","6.32","","12.5900001525879","13.3299999237061","12.9799995422363"
"Korea, Dem. People's Rep.","PRK","2015","39.189998626709","41.2099990844727","40.25","13.7799997329712","9.23999977111816","17.8899993896484","40.9500007629395","41.4799995422363","40.4599990844727","","","","","76.78","","76.77","","76.78","","73.8","","81.78","88.19","","91.57","80.75","","86.68","47.2343453908658","16081925","83.682957251389","","","","","2.41","","3.21","","2.83","","5.41","","7.03","","6.24","","12.7200002670288","13.1499996185303","12.9399995803833"
"Portugal","PRT","1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","4.1","","4.5","","","","","","","","",""
"Portugal","PRT","1990","","","","","","","","","","44.44","69.35","56.13","","53.61","53.04","65.3","63.77","59.52","58.42","48.35","47.52","58.02","72.88","71.7","82.24","59.97","58.87","69.8","42.4462813113377","4757981","66.3419319429199","66.2761506276151","","","","","6.48","","3.27","","4.64","","13.31","","7.9","","10.36","","",""
"Pacific island small states","PSS","2020","","","","","","","","","","","","","17418.653377389","","","","","","","","","","","","","64.0931536927403","","","","917188","","","","","","","","","","3.10680538428914","","","","","","","","","",""
"Saudi Arabia","SAU","2005","0.100000001490116","0.100000001490116","0.100000001490116","20.4899997711182","1.03999996185303","23.4799995422363","75.370002746582","98.5100021362305","71.8000030517578","","","","141247.098896458","8.14","","29.86","","19.38","","17.68","","18.61","74","","75.79","50.5","","52.14","14.6105077543367","7953098","23.8918918918919","","","","","14.23","14.07","4.65","4.6","6.05","6.05","47.59","","28.33","","32.23","","97.4100036621094","92.0899963378906","92.8000030517578"
"Senegal","SEN","2005","26.8799991607666","23.4699993133545","24.6200008392334","12.5799999237061","6.84999990463257","15.5","45.0800018310547","53.560001373291","40.7599983215332","","","","10599.3324495756","25.6","","54.69","","40.07","","33.92","","35.17","69.4","","71.67","50.79","","52.59","35.0269543225064","3168694","48.8760806916426","","","","","12.27","","7.12","","8.92","","18.49","","10.87","","13.32","","17.1499996185303","28.4699993133545","24.6499996185303"
"South Sudan","SSD","1994","78.9499969482422","38.0699996948242","57.6199989318848","14.5500001907349","7.07999992370605","21.4099998474121","18.7000007629395","11.9499998092651","24.8899993896484","","","","","66.67","","63.97","","65.32","","70.89","","72.78","77.35","","78.13","74.07","","75.43","48.5343704916385","2108582","91.6483516483516","","","","","13.89","","11.63","","12.72","","18.07","","21.05","","19.53","","2.35999989509583","10.0900001525879","6.3899998664856"
"Slovenia","SVN","1992","4.40000009536743","1.94000005722046","3.09999990463257","44.9000015258789","36.6199989318848","52.3199996948242","44.3499984741211","53.1399993896484","36.4700012207031","","","","","45.09","","48.5","","46.83","","51.99","","62.11","65.54","","71.89","58.47","","66.99","46.3709845489902","935667","79.325602685383","","","","","5.95","","9.39","","7.8","","21.31","","30.08","","25.95","","87.8600006103516","81.8399963378906","84.6900024414063"
"Togo","TGO","1998","27.9300003051758","27.75","27.8400001525879","14.4300003051758","15.6899995803833","13.1199998855591","37.189998626709","35.3699989318848","39.0699996948242","","","","5777.90608109155","30.05","","28.58","","29.32","","53.23","","53.12","62.11","","61.15","57.57","29.55","57.06","47.3331822983415","1491928","85.702785380776","","","","","4.34","","4.55","","4.45","","8.21","","6.95","","7.6","","6.76999998092651","15.3500003814697","10.9799995422363"
"Thailand","THA","1993","49.9799995422363","21.75","34.310001373291","17.5499992370605","15.1400003433228","19.4799995422363","25.6800003051758","27.3600006103516","24.3400001525879","","","","16654.5715519714","60.61","","69.36","","65.04","","65.21","","69.5","83.77","","87.19","74.33","","78.24","44.6436115455208","31098398","77.8440969320759","","","","","1.83","1.82","1.22","1.21","1.49","1.49","2.92","","2.77","","2.84","","31.2600002288818","36.7999992370605","34.3300018310547"
