"Country Name","Country Code","Year","average_value_Access to electricity, rural (% of rural population)","average_value_Agricultural irrigated land (% of total agricultural land)","average_value_Agricultural land (% of land area)","average_value_Agricultural land (sq. km)","average_value_Agricultural machinery, tractors","average_value_Agricultural machinery, tractors per 100 sq. km of arable land","average_value_Agricultural methane emissions (% of total)","average_value_Agricultural methane emissions (thousand metric tons of CO2 equivalent)","average_value_Agricultural nitrous oxide emissions (% of total)","average_value_Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)","average_value_Agricultural raw materials exports (% of merchandise exports)","average_value_Agricultural raw materials imports (% of merchandise imports)","average_value_Agriculture, forestry, and fishing, value added (% of GDP)","average_value_Agriculture, forestry, and fishing, value added (current US$)","average_value_Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","average_value_Arable land (% of land area)","average_value_Arable land (hectares per person)","average_value_Arable land (hectares)","average_value_Average precipitation in depth (mm per year)","average_value_Cereal production (metric tons)","average_value_Cereal yield (kg per hectare)","average_value_Crop production index (2014-2016 = 100)","average_value_Employment in agriculture (% of total employment) (modeled ILO estimate)","average_value_Employment in agriculture, female (% of female employment) (modeled ILO estimate)","average_value_Employment in agriculture, male (% of male employment) (modeled ILO estimate)","average_value_Fertilizer consumption (% of fertilizer production)","average_value_Fertilizer consumption (kilograms per hectare of arable land)","average_value_Food production index (2014-2016 = 100)","average_value_Forest area (% of land area)","average_value_Forest area (sq. km)","average_value_Land area (sq. km)","average_value_Land under cereal production (hectares)","average_value_Livestock production index (2014-2016 = 100)","average_value_Permanent cropland (% of land area)","average_value_Rural land area (sq. km)","average_value_Rural land area where elevation is below 5 meters (% of total land area)","average_value_Rural land area where elevation is below 5 meters (sq. km)","average_value_Rural population","average_value_Rural population (% of total population)","average_value_Rural population growth (annual %)","average_value_Rural population living in areas where elevation is below 5 meters (% of total population)","average_value_Surface area (sq. km)"
"Belize","BLZ","1976","","","3.72643577378343","850","710","169.047619047619","70.0828159192244","88.6148149327449","88.0938710098975","79.4099472","4.43964385864047","0.397275231156221","","","","1.84129767645769","0.310781912492693","42000","","24449","1450.4","28.83","","","","","21.4285714285714","27.84","","","22810","16857","23.83","0.263042525208242","","","","67555","49.988","1.71847852800929","","22970"
"Brazil","BRA","2017","99.169593168469","2.91413407542935","28.3410663137971","2368786","","","","335960","","171310","4.68491020215215","1.27546031126734","4.60059169575971","94933571473.3343","60.03258172","6.67158004053533","0.268300888943366","55762000","1761","117979368","5209.5","109.68","9.46000003814697","4.26000022888184","13.2799997329712","576.043812118527","297.386376206018","106.98","59.8328814784151","5000916","8358140","22646962","102.42","0.927933726881818","","","","28454529","13.691","-1.12426724243651","","8515770"
"Central Europe and the Baltics","CEB","1973","","","63.8159054840416","470470","","","35.0052353118513","71646.4192928608","50.4106719033028","59411.9709799","","","","","","45.7848975218046","","","","54697027","2820.45723234941","","","","","","","","","","1105916","19392896","","","","","","47658493","47.1340416681271","-0.762013995955314","","1134899"
"Switzerland","CHE","1969","","","42.6887269783445","16874","71909","1997.47222222222","","0","","0","1.36340009864582","4.29803405453524","","","","9.10746812386157","0.0586664432996159","360000","","640400","3651.4","124.66","","","","429.411764705882","405.555555555556","88.2","","","39528","175385","77.87","0.430074883626796","","","","1622399","26.439","0.0644315418684398","","41290"
"Channel Islands","CHI","1962","","","45.4545454545455","90","","","","","","","","","","","","20.2020202020202","0.0358860259814828","4000","","","","","","","","","","","","","198","","","","","","","68916","61.828","1.38955048829486","","198"
"Channel Islands","CHI","2001","100","9.33333333333333","37.8787878787879","75","","","","","","","","","","","","18.6868686868687","0.024816059343917","3700","","","","","4.36999988555908","3.39000010490417","5.09999990463257","","","","4.28787878787879","8.49","198","","","","","","","103630","69.505","0.399329503277265","","198"
"China","CHN","2006","97.3999242884045","10.2209093565851","55.9457666238713","5272720.667","","","40.1659572541206","354810","76.066840968512","334580","0.482900386476482","3.99417199121639","10.6257605278405","292434931647.729","","12.9030172525385","0.0927575984348065","121607066.7","","452800282","5315.5","75.51","42.5999984741211","39.060001373291","45.4799995422363","110.06878086522","376.739683829575","78.12","20.2835578851316","1911664.48","9424700","85184739","84.07","1.36142264475262","","","","735901746","56.132","-1.81124634089962","","9600000"
"Caribbean small states","CSS","1984","","","6.35420526120785","25725","7194","409.91452991453","36.5703065894212","2606.5514180746","67.5747620878216","2376.840323965","0.170628850350959","2.08557731045411","4.49375956643252","808233945.794247","","1.92540447079165","0.135529673261343","","","647181","3283.90055765288","0.129199036032314","","","","9.11522541504162","91.3502274204029","0.118167572477355","","","404850","197076","0.0866611539851842","0.545881190564407","","","","3020984","52.5250698973208","0.727502488192556","","434990"
"Denmark","DNK","1983","","","67.1543180745635","28460","176000","678.750482067104","75.8130847740531","6305.24537841388","55.6681700565052","6062.344438","5.09047008997861","4.38922864849769","4.0312704226732","2444755166.75779","","61.1845210004719","0.507010054363288","2593000","","6379865","3757.5","63.55","","","","198.872310746131","267.761280370228","81.21","","","42380","1697885","90.13","0.401132609721567","","","","811434","15.866","-0.753347323859877","","43090"
"Early-demographic dividend","EAR","1971","","","35.9318133958804","11573940","918416","23.8055567795666","66.9034553686656","908930.749620166","73.4654116751485","289312.226785276","12.1126540083359","4.8872702005714","22.9382708991261","75981758651.65","","12.0411316152142","0.307737657948544","","","288233802","1312.72252781943","0.0550402572409354","","","","156.888203726511","17.878715709394","0.0559127387600088","","","33246133","219570723","0.0504446386450535","0.971987310790473","","","","936595923","73.2975682032706","1.94447169518361","","34259640"
"Faroe Islands","FRO","1984","","","2.14899713467049","30","","","41.8406055909594","13.0342272943013","93.1551171899744","5.4705491618","5.60488885414842","1.92559869766762","","","","2.14899713467049","0.0668225860340795","3000","","","","87.21","","","","","","86.37","","","1396","","86.26","","","","","31045","69.151","1.04262050554458","","1396"
"Gabon","GAB","1996","","","7.92623122598673","20423.52","","","8.55263157894737","130","25.8823529411765","220","13.1015076634519","0.683228946428915","7.09283163965943","403868694.585345","","1.26130321729344","0.292018286634368","325000","","29311","1591","71.74","41.7999992370605","61.2200012207031","29.1900005340576","","0.615384615384615","75.73","92.0737687740133","237246.48","257670","18423","75.37","0.659758605968875","","","","270957","24.346","-0.912208266396375","","267670"
"Gambia, The","GMB","1966","","","52.2727272727273","5290","44","3.49206349206349","","","","","","","32.2355921469284","14252114.0169121","","12.4505928853755","0.30326515483371","126000","","81900","1011.1","94.33","","","","","4.38095238095238","74.11","","","10120","81000","29.72","0.296442687747036","","","","351357","84.567","1.43183296915267","","11300"
"Honduras","HND","2002","36.9512663081049","","27.0622933238002","30280","","","55.0247116968699","3340","73.4299516908213","1520","4.48622426832096","0.948748976953423","12.1834127398259","957401244.745119","","9.54508892662436","0.154128856630867","1068000","1976","579162","1341.8","71.08","38.8300018310547","9.30000019073486","54.0200004577637","","31.9569288389513","78.92","60.2172669586201","67377.1","111890","431637","76.1","3.21744570560372","","","","3699536","53.39","1.39014233626411","","112490"
"IBRD only","IBD","2003","76.9770283570591","","36.3703020631426","25789378.755","","","44.1939716441302","1940080","82.7207694260667","1107780","1.94907943902847","2.7434739350075","10.1167840891632","654353386610.228","","10.828006092088","0.186625660110567","","","1197013518","3025.8596941498","0.131550458602367","43.3076905446462","42.5196797118235","43.7986923697956","97.5574109281936","121.571114169358","0.144017676855037","34.4427064945843","24457319.401","71008703.7","395592355","0.135909203968758","1.31002665790178","","","","2248710131","54.5516598443242","-0.108609176181986","","72980997.7"
"IDA total","IDA","2016","41.1441450157776","","39.8168813542793","9950187.821","","","","858930","","489440","2.99850661809134","1.58053942555672","21.8199489697356","436822434380.108","","11.5558772264531","0.181690895845438","","","319859769","2019.85068830765","","51.2812202077934","56.6900870936575","47.701764776941","179.098739617482","42.879740716768","","26.2233099441897","6553171.6789","25000759.342","158358185","","1.48673826948695","","","","998304272","63.9917674885443","1.5156204049392","","25544480.266"
"Israel","ISR","1980","","","24.630314232902","5330","26800","824.615384615385","38.4871974070913","558.202916313489","41.7645161154236","613.7913758","3.99836728272015","2.50600742885626","","","","15.0184842883549","0.0838060856111398","325000","","303400","2316.6","74.17","","","","8.65723879830727","243.852307692308","51.41","","","21640","130970","35.31","4.06654343807763","","","","442751","11.417","-0.771492277315716","","22070"
"Jamaica","JAM","1977","","","46.814404432133","5070","","","50.2173649156932","432.103853369117","58.3119195455197","239.60117","0.383038742294871","3.01574915754975","","","","13.3887349953832","0.0696839329035036","145000","2051","10553","2156.8","91.06","","","","","102.068965517241","71.27","","","10830","4893","45.81","9.69529085872576","","","","1142372","54.9","0.246545704045964","","10990"
"Jamaica","JAM","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1078588","66.231","","",""
"Japan","JPN","1978","","","16.9050218340611","61940","1095860","2237.36218864843","63.1425125502345","50747.5110515984","27.2751196997841","8967.423847","0.986999071042902","10.1926563239894","","","","13.367903930131","0.0426235499899924","4898000","","16483170","5897","154.1","","","","102.634011090573","453.450387913434","107.77","","","366400","2795168","77.85","1.62663755458515","","","","27510172","23.94","0.66804929765278","","377800"
"Kenya","KEN","1993","4.12953124862802","","47.1588712794743","268400","10800","21.3438735177866","74.2952699474439","15550","91.1764705882353","9300","5.98074773764857","2.56782171245777","26.8080134088411","1541940611.67595","","8.89060688055663","0.193601086186268","5060000","","2539301","1461.2","56.12","44.5299987792969","54.5299987792969","35.0400009155273","","19.7628458498024","52.09","6.83370523948413","38893.35","569140","1737790","49.87","0.843377727799838","","","","21524482","82.355","2.78148727074217","","580370"
"Cambodia","KHM","1979","","","14.72920915477","26000","1233","6.32307692307692","78.1340542798009","6183.38841440574","80.92342448738","1805.54354","","","","","","11.0469068660775","0.288018730965839","1950000","","608000","716.1","8.46","","","","","","8.86","","","176520","849000","15.76","0.396555631089961","","","","6364237","94.001","-3.16963389392713","","181040"
"St. Kitts and Nevis","KNA","1993","88.786480080367","","46.1538461538462","120","90","112.5","14.2857142857143","10","100","10","0.203404094815837","2.4316029335441","3.85317493751229","10162962.962963","","30.7692307692308","0.194453221846819","8000","","","","524.4","","","","","137.5","428.83","42.3076923076923","110","260","","202.17","7.69230769230769","","","","27115","65.907","1.38891121606671","","260"
"Kuwait","KWT","1981","","","7.63187429854097","1360","24","120","1.00586635444315","65.0628557509883","6.42570636203637","42.7823144042","0.122630051654775","0.836064894140867","","","","0.112233445566779","0.0013895315472295","2000","","413","3059.3","7.31","","","","0.273224043715847","250","14.93","","","17820","135","21.33","","","","","62323","4.33","-13.6401409745745","","17820"
"Lao PDR","LAO","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1952366","92.054","","",""
"Lebanon","LBN","1967","","","59.2375366568915","6060","2176","100.740740740741","","","","","10.3869544458096","6.60571719455584","","","","21.1143695014663","0.0993225831964582","216000","661","91301","1072.4","47.57","","","","107.295238095238","104.314814814815","45.43","","","10230","85135","40.59","8.79765395894428","","","","991982","45.614","-1.93749506143347","","10450"
"Libya","LBY","1989","","","8.77786239585346","154450","29696","164.520775623269","7.22602189500801","1043.61821218653","55.1584668373425","732.01694907","","","","","","1.02583629812337","0.416961677641267","1805000","","321878","665.7","67.3","","","","43.7777777777778","43.6565096952909","67.59","","","1759540","483517","68.79","0.193232322084181","","","","1053273","24.331","2.31216290126927","","1759540"
"St. Lucia","LCA","1983","","","34.7540983606557","212","85","229.72972972973","52.1722825003605","18.1452068199304","76.2856154268228","17.32600881","0.754908036548666","1.86218027462601","","","","6.0655737704918","0.0301865857339828","3700","","","","385.7","","","","","383.243243243243","228.86","","","610","","51.66","23.7704918032787","","","","89031","72.636","0.920760711140231","","620"
"Least developed countries: UN classification","LDC","2012","28.8569462674232","","37.8044033013462","7702052.12","","","","566220","","328440","","2.38453628506664","22.5053986785445","178115887662.352","","9.02567391544392","0.205573823475545","","","198691616","1991.75611676402","0.19670620060985","60.0260913066162","66.1154875436342","55.6703554762737","440.305662646196","21.6245120500482","0.207832093890996","27.8181090423645","5667501.852","20373425.97","99757069","0.196180499427444","0.778496198496502","","","","609618423","69.522317666924","1.64900178736265","","20786418.558"
"Latvia","LVA","1992","100","","40.6778570969194","25300","61400","363.744075829384","76.7032967032967","3490","91.5966386554622","2180","","","","","","27.1400090037945","0.645670146706355","1688000","667","1143400","1641.2","71.35","19.0300006866455","15.0100002288818","22.7700004577637","215.384615384615","99.5260663507109","128.95","51.2348060968551","31866","62196","696700","212","0.353720496494951","","","","814314","31.148","-0.249959349261356","","64559"
"Moldova","MDA","1995","100","","77.6191922259338","25560","49966","281.816130851664","43.6363636363636","2160","90.4761904761905","1330","1.76628761032623","2.57800825902575","29.2735097145476","513158749.053133","","53.8414819313696","0.600547300805777","1773000","","2610779","2989.5","117.11","45.0499992370605","43.9000015258789","46.3400001525879","","64.8618161308517","120.53","10.1700576981476","3349","32930","873329","144.2","12.5417552383845","","","","1585566","53.706","-0.231321469759667","","33850"
"Maldives","MDV","2008","90.3377588669513","","26.6666666666667","80","","","0","0","0","0","0.0008997858129908","3.16768440774481","6.87564674670536","156190367.1875","","13.3333333333333","0.0116465957000769","4000","","145","2078.8","132.86","14.6099996566772","4.71999979019165","19.2399997711182","","16.75","127.64","2.73333333333333","8.2","300","70","92.86","10","","","","221146","64.39","1.80459661424982","","300"
"Marshall Islands","MHL","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.2222222222222","94","180","","","","","","","13145","22.206","-0.999175673192048","",""
"Mali","MLI","1971","","","26.0434850310198","317780","610","3.55064027939464","83.802111674429","6989.18829597022","84.6708287902969","4111.7424523","26.6538241695307","5.0784939064485","57.0761592826473","225575578.931313","","1.40797744613544","0.284224200284423","1718000","","983742","831.4","12.2","","","","","4.19091967403958","18.35","","","1220190","1183300","29.9","0.0491726698301084","","","","5156160","85.303","1.16294534381578","","1240190"
"Malta","MLT","1979","","","43.75","140","398","306.153846153846","31.0657920138561","39.0723785895872","49.6626039334599","21.730309382","0.559597987908307","1.98437618414417","3.63633558357978","36410658.6826347","","40.625","0.0414882141557787","13000","","6473","2809.5","87.8","","","","","44.6923076923077","80.64","","","320","2304","74.66","3.125","","","","32033","10.223","0.925192028608239","","320"
"Middle East & North Africa (excluding high income)","MNA","1961","","","23.2403360489034","2008890","78758","16.4449177315627","","","","","","","","","","5.54050333295542","0.477217893174667","","","16687031","804.158384894838","0.0299292456930431","","","","151.530929437364","8.29983451180984","0.0319269410835058","","","8643980","20750946","0.0316929198552932","0.392074981440238","","","","65538669","65.4423874141969","1.53624955681563","","8777960"
"Middle East & North Africa (excluding high income)","MNA","1962","","","23.227841804354","2007810","83950","17.5631289357518","","","","","","","","","","5.52974440014901","0.46396177248357","","","23456648","1102.29907836921","0.0342040376975574","","","","151.677605499113","8.83489499192246","0.035365244191524","","","8643980","21280105","0.0323292171302509","0.396830920564217","","","","66536526","64.7191878804341","1.52254694095176","","8777960"
"Mongolia","MNG","1964","","","90.5539535003476","1406810","4100","48.2352941176471","","","","","","","","","","0.547130461649373","0.791052360221048","850000","","371000","898.3","53.53","","","","","","51.23","","","1553560","413000","53.01","","","","","627680","58.415","2.13436113514331","","1564120"
"Mozambique","MOZ","1961","","","59.3211933162085","466490","2150","8.79705400981997","","","","","","","","","","3.10791220529515","0.332874019850133","2444000","","641800","877.4","31.94","","","","","1.45253682487725","31.21","","","786380","731500","20.89","0.260688216892596","","","","6824424","92.949","1.96828793045023","","799380"
"Mauritania","MRT","1994","","","38.5466188027554","397300","330","7.02127659574468","89.0736342042755","3750","98.3516483516484","1790","","","27.9385375966849","543370123.406838","","0.456000776171534","0.20837766900759","470000","","206868","667.8","56.01","42.2599983215332","37.6399993896484","44.1599998474121","","","56.38","0.440749005530222","4542.8","1030700","309758","56.45","0.0097021441738624","","","","1379724","61.171","2.76009874859799","","1030700"
"North America","NAC","1969","","","27.5174729334776","4987433","5901686","259.211615687573","","0","","0","6.09363344555288","5.22663792347771","","","","12.561835833765","1.01751572003808","","","241210503","3108.65390773549","0.0704172866705869","","","","77.7977295103824","66.4821198359086","0.0916466024190847","","","18124604","77593673","0.0909112599318901","0.102292194840699","","","","59271021","26.4887760983916","-0.383028807632627","","19508894"
"North America","NAC","1982","","","27.1791483002884","4926113","5341040","233.699259615136","31.5299471458607","212820.511509247","43.281704356449","167287.722244486","5.28158231424446","2.12447361459976","","","","12.6095610144089","0.889840022709243","","","386436963","3955.52181465864","0.109134417927748","","","","75.5679902312831","85.6360907976738","0.122940669963468","","","18124604","97695487","0.102736660042871","0.117299463986692","","","","66195054","25.7732380871681","0.38400509151748","","19508894"
"Niger","NER","1963","","","24.8677666377201","315000","7","0.0060874858683364","","","","","2.87107092642092","1.47526626221505","72.9479544304704","427690035.442525","","9.07791900213152","3.11289840104927","11499000","","1336449","560.1","15.47","","","","","","20.82","","","1266700","2385998","38.91","0.000789452909134","","","","3462778","93.741","2.62881683619774","","1267000"
"Norway","NOR","1978","","","2.46410618654927","9000","121150","1506.8407960199","24.3386724311386","2121.69212891035","18.0107634701327","1745.3454615","3.24150458981881","2.50971155093272","4.22899035622909","1967457032.21868","","2.20126819331734","0.198094400851904","804000","","1125550","3677.3","121.58","","","","43.9082819986311","319.154228855721","92.43","","","365244","306083","84.69","0.005475791525665","","","","1233268","30.386","-1.15958283025937","","385178"
"Norway","NOR","2010","100","4.33442688139974","2.75404934783323","10059","","","","2510","","2500","0.516561556764397","1.44896359082967","1.56860233094692","6725492899.48986","","2.26040674179453","0.168860185566217","825600","","1207112","4003.2","92.03","2.54999995231628","1.02999997138977","3.9300000667572","16.944120426429","170.00363372093","97.39","33.1340145217991","121020","365244","301534","98.91","0.0123205309327463","292187.8125","1.711719854","5348.611328","1021756","20.898","-0.118353511259016","1.557619509","385178"
"Other small states","OSS","1961","","","40.7886683130029","809000","10829","56.7260345730749","","","","","","","","","","1.47171968857423","0.384098303901368","","","813509","736.96036320615","0.0810887301750151","","","","","","0.0823076121655976","","","2039234","1103891","0.0823038202333057","0.201807721066021","","","","6713423","72.0646402872786","1.15215486619992","","2081351"
"Palau","PLW","1985","","","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","4415","32.62","-0.361745816142912","",""
"Papua New Guinea","PNG","1999","","","2.19273064523252","9930","","","9.92063492063492","750","95.3623188405797","3290","","","34.2572664869396","1191138243.40291","","0.448262156074725","0.0355133143439151","203000","","10550","3981.5","78.06","72.8099975585938","77.0999984741211","68.6699981689453","","45.8128078817734","72.49","80.1354449498741","362901.376","452860","2650","69.94","1.34699465618513","","","","4951629","86.625","2.58037076140306","","462840"
"Poland","POL","1997","100","","60.259884423259","184570","1310500","935.670426959874","33.4947972730535","18670","71.8438868976503","18040","2.20152957752187","2.35570481713368","4.50206857488394","7174396974.96417","8.4609375","45.7279049267035","0.362383524201765","14006000","600","25399486","2854.1","100.86","21.0699996948242","21.0400009155273","21.1000003814697","83.7124569177745","121.390832500357","93.08","29.4031799928173","90059","306290","8899413","84.42","1.02843710209279","","","","14848040","38.417","-0.0516096550797515","","312690"
"Pacific island small states","PSS","2003","44.0885218915185","","13.0981308411215","8409","","","60.1990049751244","1210","84.7457627118644","500","12.6343796826978","0.578290607471279","16.2880109420442","","","3.73811379579111","0.119413687756611","","","19410","2106.0232421875","0.121076538872691","42.0848405225953","40.0407259024003","43.3304955208016","","","0.122018178263014","66.9534890965732","42984.14","64200","9216","0.121210748177986","5.62461059190031","","","","1316533","64.9223285267861","0.841718088398395","","65150"
"Qatar","QAT","1995","100","","5.59862187769165","650","69","53.0769230769231","6.59340659340659","120","43.4782608695652","100","0.028775403722441","0.564175867028856","","","","1.11972437553833","0.0253190689594057","13000","","4256","3188","73.27","4","0.0099999997764826","4.76999998092651","1.4720314033366","461.538461538462","70.14","0","0","11610","1335","67.89","0.172265288544358","","","","25683","5.002","-6.13870237628032","","11610"
"South Asia","SAS","1971","","","55.9563482657239","2674620","185446","8.84837438329628","79.1212813608513","462081.016847273","72.9274628005361","84681.82251834","7.95043429575428","7.83002920823445","38.2583135387581","35218175257.2125","","43.870779585814","0.28721106692676","","","147983606","1184.71778458381","0.059906480030448","","","","212.847190343747","15.7156435190045","0.0569724971724418","","","4779833","124910823","0.0417774087326207","1.35716038614738","","","","592259683","81.1195000513678","1.99207913101695","","5144770"
"Solomon Islands","SLB","1996","","","2.60807431225438","730","","","19.2307692307692","50","50","10","","","43.2564524986271","220866980.708838","","0.428724544480171","0.0324748252448466","12000","","2570","4533.7","66.3","50.6800003051758","54.1199989318848","47.4799995422363","","","67.37","90.7654162200786","25405.24","27990","567","81.77","1.96498749553412","","","","314574","85.131","2.570146911236","","28900"
"Sierra Leone","SLE","1980","","","37.7389858686617","27240","317","7.04444444444445","57.5053942999033","1681.26796152798","66.1371923934251","737.668715","","","30.3764604067503","334349399.885692","","6.23441396508728","0.132802359986472","450000","","551100","1251.1","32.62","","","","","","31.39","","","72180","440500","25.41","0.969797727902466","","","","2378079","70.181","1.63412546726527","","72300"
"El Salvador","SLV","2017","91.3411660457725","","71.1689189189189","14746.2","","","","1460","","1020","0.793007264017107","2.07025984714086","5.39296694850115","1347120000","67.56373938","30.7432432432432","0.0997162860332705","637000","1784","1030124","2909.7","107.09","18.5799999237061","3.96000003814697","29.1700000762939","","131.096043956044","102.7","28.8310810810811","5973.8","20720","354029","97.03","11.1969111969112","","","","1834989","28.725","-2.15685724829366","","21040"
"Somalia","SOM","2007","5.09302433278583","","70.1820384480505","440280","","","85.5064655172414","15870","95.7317073170732","6280","","","","","99.48453608","1.59403194440017","0.0902517138349199","1000000","282","196970","605.8","94.58","82.2900009155273","87.0599975585938","80.9800033569336","","","100.54","11.1227564000383","69777.5","627340","325163","101.28","0.0446328944432046","","","","7268117","65.596","7.09228997257794","","637660"
"South Sudan","SSD","2018","4.69546886336604","","45.1526035343105","285332","","","","26610","","22750","","","","","","","","","","745000","741.5","88.9","60.8400001525879","73.7099990844727","48.6300010681152","","","98.52","11.3256551489164","71570","631928.123","1004675","101.7","","","","","8822997","80.385","0.261261401179408","","633906.576"
